contentid,title,contenttypeid,areacode,sigungucode,cat1,cat2,cat3,mapx,mapy,addr1,lDongRegnCd,lDongSignguCd
2470392,삼탄아트마인,12,32,11,A02,A0203,A02030400,128.8836435019,37.1851059712,강원특별자치도 정선군 고한읍 함백산로 1445-44,51,770
2931992,금천골 석탄층,12,32,14,A01,A0101,A01010500,128.9969915276,37.0988152834,강원특별자치도 태백시 금천길 93-24,51,190
914428,춘천지구 전적비(춘천지구 전적기념관),12,32,13,A02,A0205,A02050200,127.7049042815,37.8739262304,강원특별자치도 춘천시 수변공원길 45 (삼천동),51,110
732002,승리전망대,12,32,12,A02,A0205,A02050600,127.5261753711,38.2729346924,강원특별자치도 철원군 근남면 영서로 9579,51,780
3041022,쏠비치삼척 오션플레이,12,32,4,A02,A0202,A02020600,129.1641986050,37.4704980295,강원특별자치도 삼척시 수로부인길 453 (갈천동),51,230
3041727,해안야생화공원,12,32,6,A02,A0202,A02020700,128.1217793278,38.2699629550,강원특별자치도 양구군 해안면 펀치볼로 1085,51,800
127739,덕항산,12,32,4,A01,A0101,A01010400,129.0360818354,37.3039230357,강원특별자치도 삼척시 신기면 대기리,51,230
801593,삼척 덕풍계곡마을,12,32,4,A02,A0203,A02030100,129.1560321578,37.1234072063,강원특별자치도 삼척시 가곡면 풍곡안길 17-18,51,230
128604,장호어촌체험마을,12,32,4,A02,A0203,A02030100,129.3182738399,37.2860972550,강원특별자치도 삼척시 근덕면 장호항길 62,51,230
1955964,산양서원,12,32,4,A02,A0201,A02010700,129.2834397351,37.1403549650,강원특별자치도 삼척시 원덕읍 산양서원1길 24,51,230
634243,태백체험공원,12,32,14,A02,A0203,A02030400,128.9723343513,37.1335108268,강원특별자치도 태백시 소도길 9-11,51,190
2610122,구문소마을,12,32,14,A02,A0203,A02030100,129.0380047012,37.0932944861,강원특별자치도 태백시 사군드리길 7,51,190
125641,덕풍계곡,12,32,4,A01,A0101,A01010900,129.1583542077,37.1222684932,강원특별자치도 삼척시 가곡면 덕풍길 44,51,230
2616507,고성 제3기 현무암 (강원평화지역 국가지질공원),12,32,2,A01,A0102,A01020200,128.5059272541,38.2829827284,강원특별자치도 고성군 토성면 뒷골길 60,51,820
2569463,DMZ펀치볼둘레길,12,32,6,A02,A0201,A02011000,128.1442044239,38.2906137518,강원특별자치도 양구군 해안면 해안서화로 23,51,800
1955979,포충사(철원),12,32,12,A02,A0201,A02010700,127.2065839087,38.2243927852,강원특별자치도 철원군 철원읍 금학로425번길 32,51,780
2774505,청정조각공원,12,32,10,A02,A0202,A02020700,128.0592568934,37.9165418164,강원특별자치도 인제군 남면 설악로 10,51,810
126644,간현관광지,12,32,9,A02,A0202,A02020700,127.8340575195,37.3646293574,강원특별자치도 원주시 소금산길 12,51,130
1954341,동해향교,12,32,3,A02,A0201,A02010700,129.0915307492,37.5401163636,강원특별자치도 동해시 승지로 84-3,51,170
2570364,한국DMZ평화생명동산,12,32,10,A02,A0201,A02011000,128.2082167941,38.2405874812,강원특별자치도 인제군 서화면 금강로 1630,51,810
125754,신흥사(삼척),12,32,4,A02,A0201,A02010800,129.2049772530,37.3234601892,강원특별자치도 삼척시 근덕면 양리길 220,51,230
125729,방아다리약수터,12,32,15,A01,A0101,A01011000,128.5036234087,37.6931706345,강원특별자치도 평창군 진부면 방아다리로 1011-26,51,760
2710587,국립춘천숲체원,12,32,13,A01,A0101,A01010600,127.7707618348,37.9785986109,강원특별자치도 춘천시 신북읍 장본2길 331,51,110
125786,장수대,12,32,10,A02,A0205,A02050600,128.3409251280,38.1189569765,강원특별자치도 인제군 북면 한계리,51,810
127620,이효석 가산공원,12,32,15,A02,A0202,A02020700,128.3750373757,37.6150855487,강원특별자치도 평창군 기풍3길 6,51,760
125665,숙암계곡,12,32,11,A01,A0101,A01010900,128.6125256700,37.4777531761,강원특별자치도 정선군 북평면 숙암리,51,770
127116,원주 법천사지,12,32,9,A02,A0201,A02010700,127.7647794384,37.2070629445,강원특별자치도 원주시 부론면 법천리 산66,51,130
125787,강릉향교,12,32,1,A02,A0201,A02010700,128.8952470467,37.7635561721,강원특별자치도 강릉시 명륜로 29,51,150
2939003,영월애살으리랏다,12,32,8,A02,A0203,A02030400,128.3556835189,37.2436141822,강원특별자치도 영월군 서강로 1082,51,750
2925502,리고엠,12,32,1,A02,A0203,A02030400,128.8770014492,37.7641862993,강원특별자치도 강릉시 솔올로5번길 51,51,150
2891338,동강리버버깅,12,32,8,A02,A0203,A02030400,128.5385930905,37.1164128337,강원특별자치도 영월군 김삿갓면 강변로 1462-17,51,750
2820893,평창사랑,12,32,15,A02,A0203,A02030400,128.4106962308,37.4905339600,강원특별자치도 평창군 대화면 상안미옛길 164-141,51,760
