contentid,title,contenttypeid,areacode,sigungucode,cat1,cat2,cat3,mapx,mapy,addr1,lDongRegnCd,lDongSignguCd
1993698,삼척 맹방유채꽃 마을,12,32,4,A02,A0203,A02030100,129.2118103797,37.4007736537,강원특별자치도 삼척시 근덕면 삼척로 3916-112,51,230
129259,태종대(횡성),12,32,18,A02,A0201,A02010700,128.1091803059,37.3513443471,강원특별자치도 횡성군 강림면 태종로 287,51,730
137809,한화리조트 설악,12,32,5,A02,A0202,A02020200,128.5288163471,38.2097417044,강원특별자치도 속초시 미시령로2983번길 111,51,210
2704983,홍천동키마을,12,32,16,A02,A0203,A02030100,127.9579710653,37.7504147597,강원특별자치도 홍천군 화촌면 구룡령로 149,51,720
2713569,원주옻칠기공예관,12,32,9,A02,A0203,A02030200,128.0561912050,37.4266374350,강원특별자치도 원주시 소초면 구룡사로 142,51,130
2702483,비두리 귀부 및 이수,12,32,9,A02,A0201,A02010700,127.8351939150,37.2554364367,강원특별자치도 원주시 문막읍 귀문로 1008,51,130
128288,명주사(양양),12,32,7,A02,A0201,A02010800,128.6806218026,37.9487083240,강원특별자치도 양양군 현북면 어성전길 93-229,51,830
125640,동활계곡,12,32,4,A01,A0101,A01010900,129.1290670175,37.1523839142,강원특별자치도 삼척시 가곡면 가곡천로,51,230
2782911,응봉,12,32,2,A01,A0101,A01010400,128.4463213907,38.4659741075,강원특별자치도 고성군 거진읍 화진포길 204-25,51,820
127844,기우산(정선),12,32,11,A01,A0101,A01010400,128.6731377641,37.3564822114,강원특별자치도 정선군 정선읍 신월리,51,770
2753136,노암터널,12,32,1,A02,A0205,A02050500,128.9071992254,37.7481081912,강원특별자치도 강릉시 노암동 200-4,51,150
127922,오대산 소금강계곡,12,32,1,A01,A0101,A01010900,128.6576247467,37.8306548995,강원특별자치도 강릉시 연곡면 삼산리,51,150
127843,조양산(정선),12,32,11,A01,A0101,A01010400,128.6539110882,37.3772350070,강원특별자치도 정선군 정선읍 용담길 102-22,51,770
128171,고성 통일전망타워,12,32,2,A02,A0205,A02050600,128.4173974953,38.5147706205,강원특별자치도 고성군 현내면 금강산로 481,51,820
127449,진부령 흘리마을,12,32,2,A02,A0203,A02030100,128.3741425923,38.2648711759,강원특별자치도 고성군 간성읍 흘리길 185,51,820
3036181,나리소전망대,12,32,11,A01,A0101,A01010500,128.5994304506,37.2649607892,강원특별자치도 정선군 신동읍 고성리,51,770
2568667,동구래마을,12,32,17,A02,A0203,A02030100,127.6640391463,38.0410504502,강원특별자치도 화천군 하남면 호수길 329,51,790
125731,육림랜드,12,32,13,A02,A0202,A02020600,127.7209515323,37.9173159255,강원특별자치도 춘천시 영서로 2965 (사농동),51,110
127729,초곡해수욕장,12,32,4,A01,A0101,A01011200,129.2861481811,37.3104438286,강원특별자치도 삼척시 근덕면 초곡2길,51,230
2702489,용운사지 삼층석탑,12,32,9,A02,A0205,A02050200,127.8901218334,37.4620524637,강원특별자치도 원주시 호저면 용곡리,51,130
126727,반암해변,12,32,2,A01,A0101,A01011200,128.4628018416,38.4215018437,강원특별자치도 고성군 거진읍,51,820
2710577,KT&G 상상마당 춘천,12,32,13,A02,A0203,A02030400,127.7023128553,37.8737734220,강원특별자치도 춘천시 스포츠타운길399번길 25,51,110
580519,메이힐스리조트,12,32,11,A02,A0202,A02020200,128.8352025949,37.2115686650,강원특별자치도 정선군 고한읍 물한리길 8,51,770
1842210,병방치 스카이워크,12,32,11,A02,A0205,A02050600,128.6354715236,37.3623780337,강원특별자치도 정선군 정선읍 병방치길 225,51,770
407252,국립두타산자연휴양림,12,32,15,A01,A0101,A01010600,128.5759014877,37.5597985551,강원특별자치도 평창군 진부면 아차골길 132,51,760
125412,국립 용대자연휴양림,12,32,10,A01,A0101,A01010600,128.3646639310,38.2316443099,강원특별자치도 인제군 북면 연화동길 7,51,810
125777,아우라지,12,32,11,A01,A0101,A01011800,128.7239879300,37.4758305379,강원특별자치도 정선군 여량면 아우라지길 69,51,770
2663739,려우도예,12,32,13,A02,A0203,A02030400,127.7178130790,37.8185967945,강원특별자치도 춘천시 신동면 김유정로 1430-14,51,110
125680,천불동계곡,12,32,5,A01,A0101,A01010900,128.4701233043,38.1575549755,강원특별자치도 속초시 설악동,51,210
128788,설악산 케이블카,12,32,5,A02,A0203,A02030400,128.4891655341,38.1731535285,강원특별자치도 속초시 설악산로 1085 (설악동),51,210
125780,춘천향교,12,32,13,A02,A0201,A02010700,127.7341263954,37.8815536653,강원특별자치도 춘천시 삭주로 21 (교동),51,110
264432,춘천 명동 닭갈비 골목,12,32,13,A02,A0203,A02030600,127.7284297351,37.8800898403,강원특별자치도 춘천시 조양동 52,51,110
2814588,춘천 삼악산 호수케이블카,12,32,13,A02,A0203,A02030400,127.6913807924,37.8644965197,강원특별자치도 춘천시 스포츠타운길 245,51,110
2798901,상원사 동종,12,32,15,A02,A0201,A02010800,128.5635040624,37.7859860364,강원특별자치도 평창군 진부면 오대산로 1211-14,51,760
2798404,청옥산 도깨비길,12,32,15,A02,A0203,A02030600,128.4864514487,37.3666885836,강원특별자치도 평창군 미탄면 수리재길 3,51,760
2798468,노산성,12,32,15,A02,A0201,A02010200,128.3977230849,37.3744526703,강원특별자치도 평창군 평창읍 하리,51,760
2701876,유동리 오층석탑,12,32,15,A02,A0205,A02050200,128.3841250099,37.3508523571,강원특별자치도 평창군 평창읍 유동리,51,760
2799143,월정사 적멸보궁,12,32,15,A02,A0201,A02010800,128.5920587127,37.7312290383,강원특별자치도 평창군 진부면 오대산로 374-8,51,760
2798729,[효석문학100리길 4코스] 옛길따라 평창강 가는길,12,32,15,A02,A0203,A02030600,128.4156426778,37.4086074027,강원특별자치도 평창군 평창읍 찬샘내기2길 99-30,51,760
2798329,평창 남산 둘레길,12,32,15,A01,A0101,A01010500,128.3925794015,37.3644176191,강원특별자치도 평창군 평창읍 문화예술길 19,51,760
2799163,월정사부도군,12,32,15,A02,A0201,A02010800,128.5775807813,37.7790315573,강원특별자치도 평창군 진부면 오대산로 1076-15,51,760
127540,백담계곡,12,32,10,A01,A0101,A01010900,128.3573602695,38.1919404619,강원특별자치도 인제군 북면 백담로 150,51,810
2616535,진부령,12,32,2,A01,A0101,A01010400,128.3166040880,38.3318233670,강원특별자치도 고성군 간성읍 진부리,51,820
125618,오색령(한계령),12,32,7,A01,A0101,A01010400,128.4603975449,38.1209090520,강원특별자치도 양양군 서면 대청봉길 1,51,830
2777254,양양 오색리 삼층석탑,12,32,7,A02,A0205,A02050200,128.4400813166,38.0765554860,강원특별자치도 양양군 서면 약수길 132,51,830
127735,중봉계곡,12,32,4,A01,A0101,A01010900,128.9333771898,37.3936607181,강원특별자치도 삼척시 하장면 중봉당골길,51,230
2735620,감추사,12,32,3,A02,A0201,A02010800,129.1262895236,37.5148310688,강원특별자치도 동해시 해안로 120 (용정동),51,170
2605277,웰컴투동막골촬영지,12,32,15,A02,A0203,A02030400,128.4707599845,37.3139915833,강원특별자치도 평창군 미탄면 동막골길 122,51,760
125740,황지연못,12,32,14,A01,A0101,A01010500,128.9910509427,37.1727622365,강원특별자치도 태백시 황지연못길 12 (황지동),51,190
2610091,매봉산풍력발전단지(바람의 언덕),12,32,14,A02,A0203,A02030100,128.9702348133,37.2165873563,강원특별자치도 태백시 매봉산길 206 (창죽동),51,190
264485,철원 노동당사,12,32,12,A02,A0201,A02010700,127.2019861959,38.2552751974,강원특별자치도 철원군 철원읍 금강산로 265,51,780
2414753,아라리촌,12,32,11,A02,A0201,A02010600,128.6720900814,37.3749217329,강원특별자치도 정선군 정선읍 애산로 37,51,770
125798,설악산 권금성,12,32,5,A02,A0201,A02010200,128.4881825695,38.1641490018,강원특별자치도 속초시 설악산로 1085-3 (설악동),51,210
127671,신흥사(설악산),12,32,5,A02,A0201,A02010800,128.4847797293,38.1761225423,강원특별자치도 속초시 설악산로 1137 (설악동),51,210
2900623,철원승일공원,12,32,12,A02,A0202,A02020700,127.3014791031,38.1864295282,강원특별자치도 철원군 갈말읍 내대리,51,780
125779,영금정,12,32,5,A01,A0101,A01011100,128.6014624568,38.2119011984,강원특별자치도 속초시 영금정로 43 (동명동),51,210
125589,낙산도립공원,12,32,7,A01,A0101,A01010200,128.6313821755,38.1161018139,강원특별자치도 양양군 강현면 일출로 42,51,830
125707,속초해수욕장,12,32,5,A01,A0101,A01011200,128.6019575219,38.1906064639,강원특별자치도 속초시 해오름로 190 (조양동),51,210
125653,직탕폭포 (한탄강 유네스코 세계지질공원),12,32,12,A01,A0101,A01010800,127.2659177854,38.2097567004,강원특별자치도 철원군 동송읍 장흥리,51,780
2787556,죽림동성당,12,32,13,A02,A0201,A02010900,127.7269633008,37.8767707550,강원특별자치도 춘천시 약사고개길 23,51,110
2790003,미시령옛길 울산바위 은하수,12,32,2,A01,A0101,A01010500,128.4785319190,38.2133125360,강원특별자치도 고성군 토성면 원암리,51,820
2662936,롯데리조트속초,12,32,5,A02,A0202,A02020200,128.6130734888,38.1806995002,강원특별자치도 속초시 대포항길 186,51,210
2774728,묵호항수변공원,12,32,3,A02,A0202,A02020700,129.1174169812,37.5509989487,강원특별자치도 동해시 일출로 92-11 (묵호진동),51,170
745328,국순당 주향로,12,32,18,A02,A0204,A02040600,128.1966849965,37.4897022276,강원특별자치도 횡성군 둔내면 강변로 975,51,730
2778036,단관공원,12,32,9,A02,A0202,A02020700,127.9592309066,37.3181926004,강원특별자치도 원주시 단관공원길 63,51,130
1626292,평화의 댐(화천),12,32,17,A02,A0205,A02050600,127.8435842372,38.2132809524,강원특별자치도 화천군 화천읍 평화로 3481-18,51,790
127713,추암해변,12,32,3,A01,A0101,A01011200,129.1602375728,37.4794635856,강원특별자치도 동해시 촛대바위길 26,51,170
127140,장전계곡,12,32,15,A01,A0101,A01010900,128.5418181531,37.4773546471,강원특별자치도 평창군 진부면 장전길 435-2,51,760
2773046,사천진항,12,32,1,A01,A0101,A01011400,128.8782046462,37.8368418022,강원특별자치도 강릉시 사천면 진리해변길 68-23,51,150
127872,맹방해변,12,32,4,A01,A0101,A01011200,129.2320061341,37.3898030893,강원특별자치도 삼척시 근덕면 맹방해변로 228-239,51,230
127141,막동계곡,12,32,15,A01,A0101,A01010900,128.5651392486,37.5372815062,강원특별자치도 평창군 진부면 오대천로,51,760
125717,덕산해변,12,32,4,A01,A0101,A01011200,129.2409610100,37.3858676065,강원특별자치도 삼척시 근덕면 덕산해변길 114,51,230
2702470,꺼먹다리,12,32,17,A02,A0201,A02010700,127.7619282638,38.1060946985,강원특별자치도 화천군 화천읍 평화로 685,51,790
407172,피노키오청소년수련원(피노키오 캠핑장),12,32,9,A01,A0101,A01010600,128.1677250095,37.2574840515,강원특별자치도 원주시 신림면 소야1길 72,51,130
2775500,소돌해수욕장,12,32,1,A01,A0101,A01011200,128.8272654209,37.9062383246,강원특별자치도 강릉시 주문진읍 해안로 1993,51,150
138662,한화리조트 평창,12,32,15,A02,A0202,A02020200,128.3316979280,37.5789416837,강원특별자치도 평창군 봉평면 태기로 228-33,51,760
2761729,가람리조트,12,32,16,A02,A0202,A02020200,128.0184630062,37.8364309102,강원특별자치도 홍천군 두촌면 부채들길 29,51,720
129582,부남해변,12,32,4,A01,A0101,A01011200,129.2514275017,37.3611484320,강원특별자치도 삼척시 근덕면 부남해변길,51,230
2987914,광천선굴어드벤처테마파크,12,32,15,A01,A0101,A01011900,128.4516722463,37.5188259153,강원특별자치도 평창군 고대동길 119,51,760
980192,인터컨티넨탈 알펜시아 평창 리조트,12,32,15,A02,A0202,A02020200,128.6743702048,37.6575030436,강원특별자치도 평창군 대관령면 솔봉로 325,51,760
2764833,국제평화아트파크,12,32,17,A02,A0202,A02020700,127.8510752840,38.2111480088,강원특별자치도 화천군 화천읍 평화로 3518,51,790
1923400,백두대간협곡열차(V-트레인),12,32,14,A02,A0203,A02030400,129.0367097758,37.1131088552,강원특별자치도 태백시 동태백로 389 (철암동),51,190
126738,남애항,12,32,7,A01,A0101,A01011400,128.7871622863,37.9449469437,강원특별자치도 양양군 현남면 매바위길 138,51,830
2774430,대진 해수욕장,12,32,3,A01,A0101,A01011200,129.1125692666,37.5810009497,강원특별자치도 동해시 대진항길 46 (대진동),51,170
2775508,순포습지,12,32,1,A01,A0101,A01010500,128.8875265360,37.8204549924,강원특별자치도 강릉시 사천면 산대월리,51,150
127476,소양강댐,12,32,13,A02,A0205,A02050600,127.8150725784,37.9487918001,강원특별자치도 춘천시 신북읍 신샘밭로 1128,51,110
2820769,도계역 급수탑,12,32,4,A02,A0201,A02010700,129.0435390639,37.2268403735,강원특별자치도 삼척시 전두남1길 33-20,51,230
2714726,홍천 열목어마을,12,32,16,A02,A0203,A02030100,128.5058295374,37.8501247145,강원특별자치도 홍천군 내면 명개로 98,51,720
125736,기미만세공원,12,32,16,A02,A0202,A02020700,128.1463418503,37.7846587811,강원특별자치도 홍천군 내촌면 동창로 165,51,720
127647,수타사계곡,12,32,16,A01,A0101,A01010900,127.9575198584,37.6989540548,강원특별자치도 홍천군 영귀미면 덕치리,51,720
125733,마곡유원지,12,32,16,A02,A0202,A02020700,127.5671265985,37.7305097947,강원특별자치도 홍천군 서면 마곡길 394-40,51,720
2714533,강원특별자치도 자연환경연구공원,12,32,16,A02,A0204,A02040800,127.8518722430,37.7543734234,강원특별자치도 홍천군 북방면 생태공원길 319,51,720
128775,만해마을,12,32,10,A02,A0201,A02010600,128.3161336509,38.1859431442,강원특별자치도 인제군 북면 만해로 91,51,810
2743777,왕터리조트,12,32,13,A02,A0202,A02020200,127.5610521582,37.7302541561,강원특별자치도 춘천시 남면 박암관천길 183-27,51,110
126639,삼척 초당굴,12,32,4,A01,A0101,A01011900,129.1888407468,37.3833668740,강원특별자치도 삼척시 근덕면 금계리,51,230
2776834,대진항(삼척),12,32,4,A01,A0101,A01011400,129.2604604349,37.3479167970,강원특별자치도 삼척시 근덕면 대진길 120,51,230
125709,용화해변,12,32,4,A01,A0101,A01011200,129.3052303106,37.8297538027,강원특별자치도 삼척시 근덕면 용화리,51,230
127505,삼척공양왕릉,12,32,4,A02,A0201,A02010700,129.2663494624,37.3262832875,강원특별자치도 삼척시 근덕면 궁촌리,51,230
2641014,뒷뜨루관광농원,12,32,1,A02,A0204,A02040800,128.8370445153,37.8353717256,강원특별자치도 강릉시 사천면 청솔공원길 108,51,150
2820838,평창캠프닉,12,32,15,A02,A0203,A02030400,128.3317534820,37.5788278091,강원특별자치도 평창군 태기로 228-33 한화리조트,51,760
125757,국형사,12,32,9,A02,A0201,A02010800,128.0132227777,37.3347000326,강원특별자치도 원주시 고문골길 155 (행구동),51,130
800555,황토구들마을,12,32,15,A02,A0203,A02030100,128.4023861189,37.5748046174,강원특별자치도 평창군 용평면 의풍포길 23-10,51,760
252557,원주 강원감영,12,32,9,A02,A0201,A02010100,127.9504947193,37.3478140160,강원특별자치도 원주시 원일로 85,51,130
3454461,경포호수광장,12,32,1,A02,A0202,A02020700,128.9095224784,37.7977913781,강원특별자치도 강릉시 해안로 415 (초당동),51,150
127228,건봉사,12,32,2,A02,A0201,A02010800,128.3837485682,38.4014998662,강원특별자치도 고성군 거진읍 건봉사로 723,51,820
2724982,화진포해수욕장,12,32,2,A01,A0101,A01011200,128.4361968025,38.4822636746,강원특별자치도 고성군 현내면 화진포길 386,51,820
2702546,토성민속마을,12,32,12,A02,A0201,A02010600,127.3430679949,38.2450178894,강원특별자치도 철원군 갈말읍 토성길 98,51,780
2569485,용화저수지,12,32,12,A01,A0101,A01011800,127.3466626626,38.1327449697,강원특별자치도 철원군 갈말읍 신철원리,51,780
2048756,소이산 생태숲 녹색길,12,32,12,A01,A0101,A01010400,127.2019389791,38.2552363123,강원특별자치도 철원군 철원읍 금강산로 265,51,780
2777847,승일교,12,32,12,A02,A0205,A02050100,127.3003180798,38.1870572111,강원특별자치도 철원군 갈말읍 내대리,51,780
2569497,김화군민 망향탑,12,32,12,A02,A0201,A02011000,127.4604181049,38.2530580143,강원특별자치도 철원군 근남면 사곡리,51,780
2798815,봉황둘레길,12,32,15,A01,A0101,A01010500,128.4520897755,37.4888293888,강원특별자치도 평창군 대화면 문화택지길 21,51,760
126656,금당계곡,12,32,15,A01,A0101,A01010900,128.3933230380,37.4824512302,강원특별자치도 평창군 대화면 개수리,51,760
125638,뇌운계곡,12,32,15,A01,A0101,A01010900,128.3817233253,37.4147532715,강원특별자치도 평창군 평창읍 뇌운리,51,760
125630,고원통계곡,12,32,10,A01,A0101,A01010900,128.2731242649,38.1668556532,강원특별자치도 인제군 북면 한계리,51,810
126629,진동계곡,12,32,10,A01,A0101,A01010900,128.4079238261,37.9633541354,강원특별자치도 인제군 기린면 진동리,51,810
125633,내심적계곡,12,32,10,A01,A0101,A01010900,128.1940233614,38.2497555844,강원특별자치도 인제군 서화면 심적리,51,810
2702481,원주 부흥사지 석탑재,12,32,9,A02,A0205,A02050200,127.9855212513,37.3773529225,강원특별자치도 원주시 소초면 흥양리,51,130
252554,원주 운곡원천석묘역,12,32,9,A02,A0201,A02010700,128.0139220844,37.3562531115,강원특별자치도 원주시 행구동,51,130
252551,원주 조엄묘역,12,32,9,A02,A0201,A02010700,127.8531199770,37.3546530854,강원특별자치도 원주시 지정면 간현리,51,130
2714653,행구수변공원,12,32,9,A02,A0202,A02020700,127.9967462599,37.3424349430,강원특별자치도 원주시 행구로 362 (행구동),51,130
2777305,봉래산(영월),12,32,8,A01,A0101,A01010400,128.4862231360,37.1984496284,강원특별자치도 영월군 영월읍 영흥리,51,750
2788875,수산항,12,32,7,A01,A0101,A01011400,128.6733933696,38.0803456768,강원특별자치도 양양군 손양면 수산1길 26-41,51,830
2784323,후진항,12,32,7,A01,A0101,A01011400,128.6227268801,38.1329552415,강원특별자치도 양양군 강현면 용호리,51,830
131036,의암호,12,32,13,A01,A0101,A01011800,127.7106199172,37.8911548876,강원특별자치도 춘천시 삼천동,51,110
2788996,영혈사,12,32,7,A02,A0201,A02010800,128.5461679469,38.1076733619,강원특별자치도 양양군 양양읍 불당골길 346,51,830
977068,홀리데이인 알펜시아 평창 리조트,12,32,15,A02,A0202,A02020200,128.6743702048,37.6575030436,강원특별자치도 평창군 대관령면 솔봉로 325,51,760
2776855,범바위,12,32,5,A01,A0102,A01020200,128.5808225913,38.2142727422,강원특별자치도 속초시 영랑호반길 140,51,210
2701934,피의능선전투전적비,12,32,6,A02,A0205,A02050200,128.0430074477,38.2214337809,강원특별자치도 양구군 동면 월운리,51,800
126607,양구향교,12,32,6,A02,A0201,A02010700,127.9913822790,38.1079849168,강원특별자치도 양구군 양구읍 관공서로16번길 5-4,51,800
127897,수입천,12,32,6,A01,A0101,A01010900,127.9002220849,38.1686566733,강원특별자치도 양구군 방산면 오미리,51,800
2569469,양구군민공원,12,32,6,A02,A0202,A02020700,127.9907212833,38.1061573393,강원특별자치도 양구군 양구읍 상리,51,800
125648,직연폭포,12,32,6,A01,A0101,A01010800,127.9509218612,38.2065559897,강원특별자치도 양구군 방산면 칠전리,51,800
2776858,도원리계곡,12,32,2,A01,A0101,A01010900,128.4738251134,38.2671561712,강원특별자치도 고성군 토성면 도원리,51,820
2714850,추암조각공원,12,32,3,A02,A0202,A02020700,129.1586599490,37.4790469361,강원특별자치도 동해시 촛대바위길 17-1 (추암동),51,170
779594,한반도지형(강원고생대 국가지질공원),12,32,8,A01,A0101,A01011100,128.3575534938,37.2199280571,강원특별자치도 영월군 한반도면 한반도로 555,51,750
1949976,대관령 하늘목장,12,32,15,A02,A0203,A02030100,128.7188396792,37.7071731576,강원특별자치도 평창군 대관령면 꽃밭양지길 458-23,51,760
2711379,덕우리체험마을,12,32,11,A02,A0203,A02030100,128.7140867688,37.3597576186,강원특별자치도 정선군 정선읍 백오담길 27,51,770
2002440,평창 어름치마을,12,32,15,A02,A0203,A02030100,128.5415653834,37.2923065380,강원특별자치도 평창군 미탄면 마하길 42-5,51,760
2710820,설악해수욕장,12,32,7,A01,A0101,A01011200,128.6227575205,38.1301333481,강원특별자치도 양양군 강현면 용호리 4-5,51,830
2616518,소양강 하안단구 (강원평화지역 국가지질공원),12,32,10,A01,A0101,A01010500,128.2109560114,38.1314085900,강원특별자치도 인제군 북면 둔지말길 43-6,51,810
2605236,의암호스카이워크,12,32,13,A02,A0205,A02050600,127.6799656772,37.8471622126,강원특별자치도 춘천시 칠전동 485,51,110
2495006,알파카월드,12,32,16,A02,A0202,A02020600,127.8837032834,37.8276988352,강원특별자치도 홍천군 화촌면 덕밭재길 146-155,51,720
2783068,하이원리조트 알파인코스터,12,32,11,A02,A0203,A02030400,128.8271727915,37.2104297527,강원특별자치도 정선군 고한읍 하이원길 265-1,51,770
127305,단풍산,12,32,8,A01,A0101,A01010400,128.7310975139,37.4133712106,강원특별자치도 영월군 산솔면 녹전리,51,750
125781,원주향교,12,32,9,A02,A0201,A02010700,127.9494645222,37.3387122709,강원특별자치도 원주시 향교길 37-1 (명륜동),51,130
125673,무릉계곡 용추폭포(강원),12,32,3,A01,A0101,A01010800,128.9952281499,37.4536522297,강원특별자치도 동해시 삼화동,51,170
125701,하조대해수욕장,12,32,7,A01,A0101,A01011200,128.7242655472,38.0229894402,강원특별자치도 양양군 현북면 하조대해안길 35,51,830
125748,남대천(강릉),12,32,1,A01,A0101,A01011800,128.8263881088,37.7141161060,강원특별자치도 강릉시 성산면 구산안길,51,150
126715,모나용평,12,32,15,A02,A0202,A02020200,128.7055814809,37.6509988422,강원특별자치도 평창군 대관령면 올림픽로 715,51,760
126787,공현진1리해변,12,32,2,A01,A0101,A01011200,128.5106302561,38.3508443520,강원특별자치도 고성군 죽왕면,51,820
127842,몰운대(정선),12,32,11,A01,A0101,A01010400,128.8117487099,37.3181559522,강원특별자치도 정선군 화암면 약수길 1330,51,770
127901,국립한국자생식물원,12,32,15,A01,A0101,A01010700,128.6149990499,37.7069461800,강원특별자치도 평창군 대관령면 비안길 150-3,51,760
128359,강릉 복사꽃마을,12,32,1,A02,A0203,A02030100,128.7773762919,37.8801348222,강원특별자치도 강릉시 신리천로 527-3 복사꽃정보마을센타,51,150
129137,소노벨 비발디파크 오션월드,12,32,16,A02,A0202,A02020600,127.6779191584,37.6407750399,강원특별자치도 홍천군 서면 한치골길 262,51,720
753732,봉산동 당간지주,12,32,9,A02,A0201,A02010800,127.9582107556,37.3455560878,강원특별자치도 원주시 개봉교길 41,51,130
1762763,365세이프타운,12,32,14,A02,A0202,A02020600,129.0267221911,37.0993713487,강원특별자치도 태백시 평화길 15,51,190
1830997,불바라기약수터,12,32,7,A01,A0101,A01011000,128.5464264142,37.9227559600,강원특별자치도 양양군 서면 미천리,51,830
2396037,소양강스카이워크,12,32,13,A02,A0205,A02050600,127.7236825518,37.8933326556,강원특별자치도 춘천시 영서로 2663 (근화동),51,110
2725124,반정,12,32,15,A02,A0203,A02030400,128.4575252782,37.4927790362,강원특별자치도 평창군 대화면 대화중앙로 40,51,760
2782901,백섬해상전망대,12,32,2,A02,A0205,A02050600,128.4669255768,38.4497569582,강원특별자치도 고성군 거진읍 거진리,51,820
2812256,영월관광센터,12,32,8,A02,A0202,A02020200,128.4463217149,37.1796565918,강원특별자치도 영월군 영월읍 청령포로 126-3,51,750
3532370,임당동 성당,12,32,1,A02,A0201,A02010900,128.8920642822,37.7544432749,강원특별자치도 강릉시 임영로 148 (임당동),51,150
3532403,산계리3층석탑,12,32,1,A02,A0205,A02050200,128.9182230117,37.5749561892,강원특별자치도 강릉시 옥계면 석화동굴길 238,51,150
3532463,굴산사지당간지주,12,32,1,A02,A0205,A02050200,128.8875744540,37.7079985585,강원특별자치도 강릉시 구정면 금평로 92-50,51,150
3544074,대한노인회 강릉시지회,12,32,1,A02,A0203,A02030400,128.8840152133,37.7477716674,강원특별자치도 강릉시 경강로 1956 (홍제동),51,150
3544376,강릉종합사회복지관,12,32,1,A02,A0203,A02030400,128.9161479051,37.7647425538,"강원특별자치도 강릉시 강변로 510 (입암동, 입암3주공아파트)",51,150
3545967,정동진,12,32,1,A02,A0203,A02030100,129.0326035860,37.6914144167,강원특별자치도 강릉시 강동면 정동역길 17,51,150
3546554,강릉항여객터미널,12,32,1,A02,A0202,A02020800,128.9528860105,37.7728923281,강원특별자치도 강릉시 창해로14번길 51-26 (견소동),51,150
3547622,허균 허난설헌 기념공원 초희전통차체험관,12,32,1,A02,A0203,A02030200,128.9101559652,37.7909893998,강원특별자치도 강릉시 난설헌로193번길 1-15 (초당동),51,150
3547638,강릉통일공원안보전시관,12,32,1,A02,A0201,A02011000,128.9984085388,37.7204603916,강원특별자치도 강릉시 강동면 율곡로 1715-38,51,150
3547899,강문해변화장실,12,32,1,A02,A0205,A02050600,128.9193966990,37.7942253168,강원특별자치도 강릉시 창해로 344-1 (강문동),51,150
3543415,주문진문화교육센터,12,32,1,A02,A0203,A02030400,128.8222999590,37.8819021591,강원특별자치도 강릉시 주문진읍 신리대동길 25,51,150
3542927,강릉교회,12,32,1,A02,A0201,A02010900,128.9166441773,37.7939586275,강원특별자치도 강릉시 해안로 333 (강문동),51,150
129593,휴휴암(강원),12,32,7,A02,A0201,A02010800,128.7674802246,37.9612696670,강원특별자치도 양양군 현남면 광진2길 3-16,51,830
129038,후진마을,12,32,4,A02,A0203,A02030100,129.1714370967,37.4623629966,강원특별자치도 삼척시 새천년도로 460,51,230
127874,송지호 해수욕장,12,32,2,A01,A0101,A01011200,128.5279598643,38.3307331455,강원특별자치도 고성군 죽왕면 오호리,51,820
129027,장사어촌체험마을,12,32,5,A02,A0203,A02030100,128.5880298803,38.2267214335,강원특별자치도 속초시 장사항해안길 58,51,210
2705223,장미공원,12,32,9,A02,A0202,A02020700,127.9307409701,37.3470165190,강원특별자치도 원주시 장미공원길 43-3,51,130
129022,기사문마을,12,32,7,A02,A0203,A02030100,128.7283128303,38.0092605575,강원특별자치도 양양군 현북면 기사문리,51,830
129033,물치마을,12,32,7,A02,A0203,A02030100,128.6055250327,38.1531803325,강원특별자치도 양양군 강현면 물치천로 23,51,830
2714534,양구 산양·사향노루센터,12,32,6,A01,A0101,A01010500,128.0748794087,38.2257255543,강원특별자치도 양구군 동면 펀치볼로 266-60,51,800
3541047,주문진 관광안내센터,12,32,1,A02,A0203,A02030400,128.8285741418,37.8899819008,강원특별자치도 강릉시 주문진읍 해안로 1734,51,150
127565,영랑호,12,32,5,A01,A0101,A01011700,128.5807503766,38.2142227476,강원특별자치도 속초시 영랑호반길 140,51,210
128782,신장절공묘역,12,32,13,A02,A0201,A02010700,127.6619878743,37.9033247881,강원특별자치도 춘천시 서면 신숭겸로 272-21,51,110
125605,강촌유원지,12,32,13,A02,A0202,A02020700,127.6325486998,37.8157038798,강원특별자치도 춘천시 남산면 일원,51,110
127566,소양호(양구),12,32,6,A01,A0101,A01011700,128.0221877116,38.0194458116,강원특별자치도 양구군 양구읍 석현리,51,800
2569470,용머리 공원,12,32,6,A02,A0202,A02020700,127.9822937880,38.1221525378,강원특별자치도 양구군 파로호로869번길 109,51,800
770926,양구 국토정중앙배꼽마을,12,32,6,A02,A0203,A02030100,128.0231999217,38.0718313980,강원특별자치도 양구군 국토정중앙면 봉화산로 425,51,800
2569391,소지섭길,12,32,6,A01,A0101,A01010500,127.9835710384,38.2269042350,강원특별자치도 양구군 방산면 두타연로 8,51,800
2702469,필리핀군 전투전적비,12,32,6,A02,A0205,A02050200,127.9884201940,38.0573546475,강원특별자치도 양구군 국토정중앙면 심포리,51,800
128733,백석산지구 전투전적비,12,32,6,A02,A0205,A02050200,127.9356332233,38.2441485349,강원특별자치도 양구군 방산면 송현리 233,51,800
2569459,펀치볼지구전투전적비,12,32,6,A02,A0201,A02011000,128.0463239786,38.2160011446,강원특별자치도 양구군 동면 팔랑리,51,800
